attack,target_type,nationality,weapon
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Bombing/Explosion,Military,Cambodia,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Cambodia,Explosives/Bombs/Dynamite
Armed Assault,Violent Political Party,South Africa,Firearms
Bombing/Explosion,Business,Uganda,Explosives/Bombs/Dynamite
Assassination,Police,Egypt,Firearms
Assassination,Military,Italy,Explosives/Bombs/Dynamite
Assassination,Police,Turkey,Firearms
Bombing/Explosion,Military,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Spain,Explosives/Bombs/Dynamite
Armed Assault,Military,Israel,Firearms
Unarmed Assault,Military,Israel,Melee
Bombing/Explosion,Military,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Philippines,Explosives/Bombs/Dynamite
Armed Assault,Police,Sri Lanka,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Police,Colombia,Unknown
Assassination,Unknown,Turkey,Firearms
Assassination,Military,Turkey,Firearms
Assassination,Military,Turkey,Firearms
Bombing/Explosion,Private Citizens & Property,Cambodia,Explosives/Bombs/Dynamite
Armed Assault,Police,Turkey,Firearms
Armed Assault,Police,Turkey,Firearms
Armed Assault,Police,Turkey,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Armed Assault,Transportation,Turkey,Firearms
Assassination,Government (General),Bangladesh,Firearms
Assassination,Police,Spain,Firearms
Assassination,Government (General),Togo,Firearms
Bombing/Explosion,Police,Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Thailand,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Bombing/Explosion,Private Citizens & Property,Bosnia-Herzegovina,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Cambodia,Explosives/Bombs/Dynamite
Armed Assault,Military,Chad,Firearms
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Unknown,Government (General),Haiti,Unknown
Armed Assault,Government (Diplomatic),International,Firearms
Armed Assault,Military,Philippines,Firearms
Armed Assault,Police,South Africa,Firearms
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Journalists & Media,Sri Lanka,Melee
Armed Assault,Military,Turkey,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Senegal,Unknown
Assassination,Police,Egypt,Firearms
Assassination,Journalists & Media,Germany,Explosives/Bombs/Dynamite
Assassination,Government (General),Northern Ireland,Firearms
Assassination,Violent Political Party,South Africa,Firearms
Assassination,Private Citizens & Property,South Africa,Unknown
Assassination,Private Citizens & Property,Turkey,Firearms
Bombing/Explosion,Government (General),Bangladesh,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Philippines,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Armed Assault,Military,Cambodia,Firearms
Armed Assault,Private Citizens & Property,Cambodia,Firearms
Armed Assault,Business,South Africa,Firearms
Bombing/Explosion,Telecommunication,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Police,Turkey,Firearms
Unknown,Government (Diplomatic),United States,Unknown
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Assassination,Government (General),Haiti,Firearms
Assassination,Business,Israel,Melee
Assassination,Transportation,South Africa,Firearms
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,United States,Firearms
Bombing/Explosion,Private Citizens & Property,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Assassination,Police,Algeria,Firearms
Assassination,Government (General),Colombia,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Great Britain,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Northern Ireland,Firearms
Armed Assault,Police,India,Firearms
Armed Assault,Military,Israel,Firearms
Armed Assault,Military,Israel,Firearms
Armed Assault,Military,Sri Lanka,Firearms
Hostage Taking (Kidnapping),Business,Portugal,Firearms
Armed Assault,Tourists,Egypt,Incendiary
Bombing/Explosion,Government (General),Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Northern Ireland,Firearms
Armed Assault,Police,Senegal,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Bombing/Explosion,Government (General),Yemen,Explosives/Bombs/Dynamite
Assassination,Police,Peru,Firearms
Assassination,Government (General),Peru,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Italy,Incendiary
Bombing/Explosion,Government (Diplomatic),France,Explosives/Bombs/Dynamite
Armed Assault,Police,Egypt,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Private Citizens & Property,Jamaica,Incendiary
Armed Assault,Military,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Armed Assault,Police,Peru,Firearms
Bombing/Explosion,Educational Institution,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Military,Turkey,Firearms
Unknown,Educational Institution,United States,Unknown
Assassination,Government (General),Algeria,Firearms
Assassination,Business,France,Firearms
Assassination,Private Citizens & Property,United States,Melee
Assassination,Private Citizens & Property,South Africa,Firearms
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Philippines,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Philippines,Incendiary
Bombing/Explosion,Private Citizens & Property,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Government (Diplomatic),International,Firearms
Armed Assault,Police,Egypt,Firearms
Armed Assault,Police,Germany,Incendiary
Armed Assault,Private Citizens & Property,Pakistan,Firearms
Bombing/Explosion,Business,Philippines,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,South Africa,Firearms
Armed Assault,Police,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Assassination,Government (General),India,Firearms
Assassination,Religious Figures/Institutions,Italy,Firearms
Assassination,Private Citizens & Property,Pakistan,Firearms
Assassination,Government (General),Tajikistan,Firearms
Armed Assault,Police,Argentina,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Police,Philippines,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Government (General),Honduras,Explosives/Bombs/Dynamite
Assassination,Transportation,South Africa,Firearms
Assassination,Military,Turkey,Firearms
Facility/Infrastructure Attack,Business,France,Incendiary
Facility/Infrastructure Attack,Government (General),Japan,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,Great Britain,Incendiary
Unknown,Airports & Aircraft,Turkey,Unknown
Armed Assault,Police,Germany,Incendiary
Armed Assault,Police,Philippines,Firearms
Armed Assault,Police,Thailand,Firearms
Armed Assault,Police,Thailand,Firearms
Armed Assault,Military,Turkey,Firearms
Bombing/Explosion,Business,Venezuela,Explosives/Bombs/Dynamite
Assassination,Journalists & Media,Colombia,Firearms
Assassination,Police,India,Firearms
Assassination,Private Citizens & Property,South Africa,Firearms
Assassination,Transportation,South Africa,Melee
Bombing/Explosion,Government (General),Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,France,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (Diplomatic),Turkey,Incendiary
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Great Britain,Incendiary
Unknown,Government (Diplomatic),Costa Rica,Unknown
Armed Assault,Private Citizens & Property,Colombia,Firearms
Unknown,Journalists & Media,France,Unknown
Unknown,Journalists & Media,France,Unknown
Armed Assault,NGO,International,Firearms
Armed Assault,Private Citizens & Property,Georgia,Firearms
Bombing/Explosion,Military,India,Explosives/Bombs/Dynamite
Armed Assault,Military,Israel,Firearms
Bombing/Explosion,NGO,International,Firearms
Armed Assault,Transportation,South Africa,Firearms
Armed Assault,Police,Yemen,Firearms
Hostage Taking (Kidnapping),NGO,International,Unknown
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Bombing/Explosion,Private Citizens & Property,Iran,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Turkey,Explosives/Bombs/Dynamite
Unknown,Government (General),France,Unknown
Armed Assault,Airports & Aircraft,Turkey,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Government (General),Northern Ireland,Firearms
Bombing/Explosion,Maritime,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Great Britain,Explosives/Bombs/Dynamite
Hijacking,Airports & Aircraft,Ethiopia,Firearms
Armed Assault,Government (Diplomatic),International,Firearms
Assassination,Military,Great Britain,Firearms
Assassination,Government (General),Puerto Rico,Melee
Assassination,Business,Egypt,Melee
Bombing/Explosion,Government (General),Djibouti,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Armed Assault,Maritime,Vietnam,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Government (General),Algeria,Firearms
Assassination,Educational Institution,Bangladesh,Firearms
Bombing/Explosion,Private Citizens & Property,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Germany,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),India,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),International,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Angola,Firearms
Armed Assault,Violent Political Party,Angola,Firearms
Armed Assault,Police,Germany,Incendiary
Armed Assault,Police,Kuwait,Firearms
Armed Assault,Government (Diplomatic),International,Firearms
Assassination,Educational Institution,India,Firearms
Armed Assault,Transportation,Turkey,Firearms
Facility/Infrastructure Attack,Police,Thailand,Incendiary
Armed Assault,Government (General),Bangladesh,Melee
Armed Assault,Police,India,Firearms
Bombing/Explosion,Military,Japan,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Madagascar,Firearms
Unknown,Government (General),Tajikistan,Unknown
Hostage Taking (Kidnapping),Educational Institution,India,Unknown
Unknown,Business,Kuwait,Unknown
Hostage Taking (Kidnapping),Business,Sweden,Unknown
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Private Citizens & Property,Sri Lanka,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Police,Turkey,Firearms
Assassination,Terrorists/Non-State Militia,West Bank and Gaza Strip,Firearms
Assassination,Government (General),Poland,Unknown
Assassination,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Police,Algeria,Firearms
Armed Assault,Private Citizens & Property,,Firearms
Armed Assault,NGO,International,Firearms
Armed Assault,Military,India,Firearms
Armed Assault,Military,India,Firearms
Armed Assault,Military,Turkey,Firearms
Unknown,Government (Diplomatic),International,Unknown
Hostage Taking (Kidnapping),Business,France,Unknown
Hostage Taking (Kidnapping),Journalists & Media,Madagascar,Firearms
Assassination,Government (General),Haiti,Firearms
Assassination,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Assassination,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Assassination,Business,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Vietnam,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Bombing/Explosion,Private Citizens & Property,Kenya,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Kenya,Explosives/Bombs/Dynamite
Unknown,Private Citizens & Property,Argentina,Unknown
Unknown,Private Citizens & Property,Turkey,Unknown
Unknown,Business,Germany,Unknown
Unknown,Business,Germany,Unknown
Bombing/Explosion,Government (General),Turkey,Explosives/Bombs/Dynamite
Armed Assault,Police,Turkey,Firearms
Armed Assault,Terrorists/Non-State Militia,South Africa,Melee
Assassination,Private Citizens & Property,Israel,Melee
Assassination,Police,Israel,Melee
Bombing/Explosion,Government (General),Chile,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Other,Germany,Incendiary
Facility/Infrastructure Attack,Government (General),Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Private Citizens & Property,Spain,Incendiary
Hijacking,Airports & Aircraft,Vietnam,Melee
Bombing/Explosion,Government (Diplomatic),Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Egypt,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Madagascar,Explosives/Bombs/Dynamite
Armed Assault,Violent Political Party,South Africa,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Police,Algeria,Firearms
Assassination,Police,South Africa,Firearms
Assassination,Police,South Africa,Melee
Bombing/Explosion,Government (General),Argentina,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Ecuador,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Private Citizens & Property,Peru,Incendiary
Armed Assault,Private Citizens & Property,Peru,Incendiary
Armed Assault,Private Citizens & Property,Peru,Incendiary
Armed Assault,Private Citizens & Property,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Armed Assault,Transportation,Peru,Incendiary
Bombing/Explosion,Private Citizens & Property,Togo,Explosives/Bombs/Dynamite
Armed Assault,Police,Colombia,Firearms
Bombing/Explosion,Police,Colombia,Firearms
Armed Assault,Private Citizens & Property,,Firearms
Unknown,Private Citizens & Property,Germany,Unknown
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Thailand,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Assassination,Terrorists/Non-State Militia,Northern Ireland,Firearms
Assassination,Private Citizens & Property,Peru,Firearms
Assassination,Private Citizens & Property,Peru,Firearms
Assassination,Police,South Africa,Firearms
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Maritime,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Maritime,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Armed Assault,Police,Colombia,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Police,South Africa,Firearms
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Assassination,Private Citizens & Property,Sri Lanka,Melee
Facility/Infrastructure Attack,Business,Egypt,Incendiary
Facility/Infrastructure Attack,Business,Egypt,Incendiary
Facility/Infrastructure Attack,Business,Egypt,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,Vietnam,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,Vietnam,Incendiary
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Armed Assault,Business,Turkey,Incendiary
Armed Assault,Business,Turkey,Incendiary
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Maritime,Taiwan,Firearms
Bombing/Explosion,Government (General),Russia,Explosives/Bombs/Dynamite
Armed Assault,Police,South Africa,Firearms
Armed Assault,Transportation,Turkey,Firearms
Assassination,Business,Northern Ireland,Firearms
Assassination,Private Citizens & Property,Northern Ireland,Firearms
Assassination,Terrorists/Non-State Militia,Northern Ireland,Firearms
Bombing/Explosion,Violent Political Party,Chile,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Bombing/Explosion,Private Citizens & Property,Kazakhstan,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Government (Diplomatic),International,Firearms
Armed Assault,Government (General),El Salvador,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Unarmed Assault,Government (Diplomatic),United States,Melee
Armed Assault,Violent Political Party,Mexico,Firearms
Facility/Infrastructure Attack,Police,Northern Ireland,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
Armed Assault,Police,Turkey,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Northern Ireland,Incendiary
Assassination,Government (General),Algeria,Firearms
Assassination,Police,Colombia,Unknown
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Vietnam,Incendiary
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Military,Sri Lanka,Firearms
Armed Assault,Military,Sri Lanka,Firearms
Armed Assault,Police,Turkey,Firearms
Hostage Taking (Kidnapping),Government (General),Angola,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Turkey,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Northern Ireland,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Assassination,Private Citizens & Property,Israel,Firearms
Assassination,Government (General),Italy,Firearms
Assassination,Religious Figures/Institutions,Turkey,Firearms
Facility/Infrastructure Attack,Business,Austria,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,Northern Ireland,Incendiary
Bombing/Explosion,Maritime,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Togo,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Togo,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Bosnia-Herzegovina,Firearms
Armed Assault,Private Citizens & Property,Cambodia,Firearms
Armed Assault,Police,Chile,Firearms
Armed Assault,Police,Chile,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Facility/Infrastructure Attack,Business,Greece,Melee
Facility/Infrastructure Attack,Business,Greece,Melee
Facility/Infrastructure Attack,Business,Greece,Melee
Facility/Infrastructure Attack,Business,Greece,Melee
Facility/Infrastructure Attack,Business,Greece,Melee
Armed Assault,Police,India,Firearms
Unarmed Assault,Business,India,Other
Unarmed Assault,Transportation,Israel,Melee
Armed Assault,Government (General),Togo,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Assassination,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Assassination,Government (General),Northern Ireland,Firearms
Assassination,Government (General),Northern Ireland,Firearms
Assassination,Business,Turkey,Firearms
Assassination,Private Citizens & Property,Turkey,Firearms
Bombing/Explosion,Religious Figures/Institutions,United States,Explosives/Bombs/Dynamite
Armed Assault,Business,Turkey,Incendiary
Armed Assault,Police,Chile,Firearms
Armed Assault,Business,Egypt,Firearms
Armed Assault,Police,Egypt,Firearms
Armed Assault,Police,Egypt,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Military,India,Firearms
Unarmed Assault,Military,Israel,Melee
Unarmed Assault,Private Citizens & Property,Israel,Melee
Armed Assault,Police,Turkey,Firearms
Bombing/Explosion,Utilities,Turkey,Explosives/Bombs/Dynamite
Armed Assault,Police,Turkey,Firearms
Assassination,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Assassination,Private Citizens & Property,Israel,Firearms
Assassination,Police,Philippines,Firearms
Assassination,Police,Turkey,Firearms
Bombing/Explosion,Religious Figures/Institutions,United States,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Unknown,Police,Great Britain,Unknown
Assassination,Government (General),India,Unknown
Facility/Infrastructure Attack,Private Citizens & Property,France,Sabotage Equipment
Armed Assault,Business,Northern Ireland,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Assassination,Police,Peru,Firearms
Assassination,Police,Spain,Firearms
Assassination,Government (General),Thailand,Firearms
Bombing/Explosion,Telecommunication,Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Georgia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Angola,Firearms
Armed Assault,Private Citizens & Property,Niger,Firearms
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Armed Assault,Violent Political Party,South Africa,Firearms
Hostage Taking (Kidnapping),Government (General),Turkey,Firearms
Hostage Taking (Kidnapping),Violent Political Party,Lebanon,Firearms
Assassination,Police,Colombia,Firearms
Assassination,Police,Colombia,Firearms
Assassination,Maritime,Poland,Firearms
Bombing/Explosion,Private Citizens & Property,Honduras,Explosives/Bombs/Dynamite
Armed Assault,Transportation,India,Incendiary
Armed Assault,Transportation,India,Incendiary
Armed Assault,Private Citizens & Property,India,Incendiary
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Police,Turkey,Firearms
Armed Assault,Police,Germany,Melee
Assassination,Police,Colombia,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Germany,Incendiary
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Armed Assault,Police,Germany,Melee
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Assassination,Police,Colombia,Firearms
Armed Assault,Government (General),Turkey,Firearms
Assassination,Business,Turkey,Unknown
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Great Britain,Incendiary
Facility/Infrastructure Attack,Private Citizens & Property,Great Britain,Incendiary
Facility/Infrastructure Attack,Business,Great Britain,Incendiary
Bombing/Explosion,Government (General),Yemen,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Yemen,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Military,Israel,Melee
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Turkey,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Armed Assault,Military,Turkey,Firearms
Hostage Taking (Kidnapping),Business,Turkey,Firearms
Armed Assault,Police,Germany,Melee
Assassination,Government (General),Colombia,Firearms
Assassination,Military,Haiti,Firearms
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Bombing/Explosion,Airports & Aircraft,Panama,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Panama,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Panama,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Turkey,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Yemen,Explosives/Bombs/Dynamite
Armed Assault,Terrorists/Non-State Militia,Afghanistan,Firearms
Facility/Infrastructure Attack,Business,Germany,Melee
Armed Assault,Government (Diplomatic),United States,Firearms
Armed Assault,Business,South Africa,Firearms
Bombing/Explosion,Government (General),Togo,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Togo,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Turkey,Firearms
Hostage Taking (Kidnapping),Military,Israel,Firearms
Armed Assault,Police,Germany,Melee
Assassination,Military,India,Firearms
Assassination,Military,Peru,Firearms
Assassination,Police,Peru,Firearms
Assassination,Government (General),Turkey,Firearms
Assassination,Private Citizens & Property,Turkey,Firearms
Bombing/Explosion,Military,Georgia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Germany,Incendiary
Facility/Infrastructure Attack,Business,Germany,Incendiary
Armed Assault,Transportation,Niger,Incendiary
Bombing/Explosion,Business,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Turkey,Incendiary
Armed Assault,Police,Angola,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Colombia,Firearms
